airlineIataCode,airlineName,airlineName_trimmed
LQ,란메이 항공,란메이항공
QV,라오스 항공,라오스항공
LK,라오스 스카이웨이,라오스스카이웨이
QL,레이저,레이저
LA,라탐 항공,라탐항공
JJ,라탐 항공 브라질,라탐항공브라질
LU,라탐 항공 칠레,라탐항공칠레
4C,라탐 항공 콜롬비아,라탐항공콜롬비아
XL,라탐 항공 에콰도르,라탐항공에콰도르
PZ,라탐 항공 파라과이,라탐항공파라과이
LP,라탐 항공 페루,라탐항공페루
M3,라탐 카고 브라질,라탐카고브라질
UC,라탐 카고 칠레,라탐카고칠레
L7,라탐 카고 콜롬비아,라탐카고콜롬비아
LW,라우다 유럽 항공,라우다유럽항공
KK,LEAV 항공,LEAV항공
LZ,레전드 항공,레전드항공
LN,리비아 항공,리비아항공
LB,리비안 익스프레스,리비안익스프레스
YL,리비아 윙스,리비아윙스
4L,LAS 화물 항공,LAS화물항공
JT,라이온 항공,라이온항공
LM,로간에어,로간에어
LT,룽장 항공,룽장항공
GJ,룽 항공,룽항공
LO,LOT 폴란드 항공,LOT폴란드항공
8L,럭키 에어,럭키에어
LH,루프트한자,루프트한자
LH,루프트한자 카고,루프트한자카고
VL,루프트한자 시티 에어라인즈,루프트한자시티에어라인즈
CL,루프트한자 시티라인,루프트한자시티라인
L8,루루타이 항공,루루타이항공
L9,루미윙스,루미윙스
LG,룩스에어,룩스에어
BN,럭스윙,럭스윙
L2,린든 항공화물,린든항공화물
MD,마다가스카르 항공,마다가스카르항공
DJ,머스크 화물항공,머스크화물항공
W5,마한 항공,마한항공
3W,말라이 항공,말라이항공
MH,말레이시아 항공,말레이시아항공
Q2,몰디비안,몰디비안
DB,말레스 항공,말레스항공
MW,몰타 항공,몰타항공
MT,몰타 메드에어,몰타메드에어
AE,만다린 항공,만다린항공
7Y,만야다나폰 항공,만야다나폰항공
NR,만타 에어,만타에어
7M,MAP 항공,MAP항공
DI,마라부,마라부
O8,마라톤 항공,마라톤항공
MP,마르틴에어,마르틴에어
M7,마스,마스
L6,모리타니 항공,모리타니항공
4M,마비곡 항공,마비곡항공
VM,맥스 항공 나이지리아,맥스항공나이지리아
6M,막시무스 에어카고,막시무스에어카고
2M,마야 아일랜드 항공,마야아일랜드항공
N5,메다비아,메다비아
BM,메드스키 항공,메드스키항공
4X,머큐리 월드 카고,머큐리월드카고
YV,메사 항공,메사항공
MX,멕시카나 항공,멕시카나항공
7D,MGC 항공,MGC항공
M2,MHS 항공,MHS항공
OM,MIAT 몽골 항공,MIAT몽골항공
ME,미들 이스트 항공,미들이스트항공
K7,밍갈라 항공,밍갈라항공
WW,M 제트 인터내셔널,M제트인터내셔널
MB,MNG 항공,MNG항공
WD,모던 로지스틱스,모던로지스틱스
XF,몽골 화물항공,몽골화물항공
6V,MRK 항공,MRK항공
C6,마이 프라이터 항공,마이프라이터항공
2Y,마이 인도 항공,마이인도항공
8M,미얀마 국제항공,미얀마국제항공
UB,미얀마 국영항공,미얀마국영항공
MJ,마이웨이 항공,마이웨이항공
T2,나키나 에어 서비스,나키나에어서비스
IN,남 에어,남에어
N8,내셔널 미국 항공,내셔널미국항공
9Y,내셔널 항공,내셔널항공
NM,나티레바 에어 모아나,나티레바에어모아나
ON,나우루 항공,나우루항공
NO,네오스 항공,네오스항공
RA,네팔 항공,네팔항공
NE,네스마 이집트 항공,네스마이집트항공
NA,네스마 사우디아라비아 항공,네스마사우디아라비아항공
1I,넷제트,넷제트
EJ,뉴 잉글랜드 항공,뉴잉글랜드항공
7H,뉴퍼시픽 항공,뉴퍼시픽항공
NJ,나제르 항공,나제르항공
NP,나일 에어,나일에어
KZ,일본 화물항공,일본화물항공
DD,녹 에어,녹에어
N5,놀리노르 항공,놀리노르항공
NA,노마드 항공,노마드항공
N7,노르딕 리저널 항공,노르딕리저널항공
ND,노르디카,노르디카
Y7,노드스타 항공,노드스타항공
N4,노드윈드 항공,노드윈드항공
N0,노르스 애틀랜틱 항공,노르스애틀랜틱항공
Z0,노르스 애틀랜틱 영국,노르스애틀랜틱영국
NC,노던 에어 카고,노던에어카고
J3,노스웨스턴 에어 리스,노스웨스턴에어리스
HW,노스라이트 항공,노스라이트항공
DY,노르웨이 항공 셔틀 AOC,노르웨이항공셔틀AOC
D8,노르웨이 항공 스웨덴 AOC,노르웨이항공스웨덴AOC
BJ,누벨레어 튀니지,누벨레어튀니지
O9,노바 항공,노바항공
NG,노바 항공 아르메니아,노바항공아르메니아
VQ,노보에어,노보에어
OJ,닉스 에어,닉스에어
BK,오캐이 항공,오캐이항공
OA,올림픽 항공,올림픽항공
WY,오만 에어,오만에어
OY,옴니 에어 인터네셔널,옴니에어인터네셔널
OX,원항공 SAU,원항공SAU
O7,오렌부르크 항공,오렌부르크항공
OC,오리엔탈 에어 브리지,오리엔탈에어브리지
OF,오버랜드 항공,오버랜드항공
YI,오야 국제항공,오야국제항공
BL,퍼시픽 항공,퍼시픽항공
3F,퍼시픽 항공 주식회사,퍼시픽항공주식회사
8P,퍼시픽 코스탈 항공,퍼시픽코스탈항공
PK,파키스탄 국제항공,파키스탄국제항공
PB,PAL 항공 캐나다,PAL항공캐나다
2P,PAL 익스프레스,PAL익스프레스
